"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:33:38,FALSE,NA,"1464573125983719430",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","moipasmoimoi",6191,TRUE,FALSE,NA,NA
"@ODEONCinemas What time will the #SpiderManNoWayHome tickets release",FALSE,0,"ODEONCinemas",2021-11-27 12:33:22,FALSE,"1464572976389570565","1464573061060083712","341978660","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MustafaAdam0",0,FALSE,FALSE,NA,NA
"RT @Chatterboxfilm: #Breaking: Alleged Final Runtime For Spider-Man No Way Home. #SpiderManNoWayHome

https://t.co/lm1ih02Ckr https://t.co/…",FALSE,0,NA,2021-11-27 12:33:20,FALSE,NA,"1464573050297503745",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MJisAwesome_",6,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:33:19,FALSE,NA,"1464573045083889667",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DlfsRemy",6190,TRUE,FALSE,NA,NA
"RT @spideysnews: Jamie Foxx and Tom Holland promote the #SpiderManNoWayHome  ticket sales launch in this new video.⚡️

Tickets go on sale T…",FALSE,0,NA,2021-11-27 12:32:54,FALSE,NA,"1464572940964569089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sephhhiii",230,TRUE,FALSE,NA,NA
"RT @MarvelManiac_: HOLY SHITTT!!!!
#SPIDERMANNOWAYHOME https://t.co/S57CEFAy6m",FALSE,0,NA,2021-11-27 12:32:44,FALSE,NA,"1464572900867035141",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Drakaryzzzz",507,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:32:42,FALSE,NA,"1464572891127758855",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sunidhi06709392",6191,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:32:41,FALSE,NA,"1464572885499060225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NICKelodeon2992",6191,TRUE,FALSE,NA,NA
"RT @Spider_Leaks: #SpiderManNoWayHome's final runtime will be 02:28:01.

(Source: @bigscreenleaks) https://t.co/9dI3eK23dl",FALSE,0,NA,2021-11-27 12:32:40,FALSE,NA,"1464572881858449415",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","art_chibi",366,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:32:25,FALSE,NA,"1464572821095555077",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","h4wk7x",6191,TRUE,FALSE,NA,NA
